Process ID,Process Name,Timestamp,CPU Usage (%),Memory Usage (%),Disk Usage (%),Anomaly
9780,conhost.exe,1715697844026745.0,0.0,0.030067114354127615,0.00390625,0
9800,msedgewebview2.exe,1715697844026745.0,0.0,0.012695542241388292,1.2880859375,0
9856,AggregatorHost.exe,1715697844026745.0,0.0,0.0245430997910808,0,0
9996,java.exe,1715697844026745.0,0.0,0.5076036364490957,0,0
10084,conhost.exe,1715697844026745.0,0.0,0.005548242697095264,0,0
10200,Code.exe,1715697844026745.0,0.0,0.7460084754858529,81.26836585998535,1
10376,conhost.exe,1715697844026745.0,0.0,0.06825065361448629,0.00390625,0
10580,chrome.exe,1715697844026745.0,0.0,0.06170905742140454,39.35416889190674,0
10640,svchost.exe,1715697844026745.0,0.0,0.10170970673539703,0,0
10700,svchost.exe,1715697844026745.0,0.0,0.008964409597926848,0,0
10804,Dell.TechHub.Diagnostics.SubAgent.exe,1715697844026745.0,0.0,0.0672573001184998,0,0
10820,conhost.exe,1715697844026745.0,0.0,0.006323542986645695,0.00390625,0
10900,svchost.exe,1715697844026745.0,0.0,0.07474379353947114,0,0
10936,conhost.exe,1715697844026745.0,0.0,0.004845626809690188,0,0
11252,backgroundTaskHost.exe,1715697844026745.0,0.0,0.0036342201072676406,69.13504791259766,0
11444,msedge.exe,1715697844026745.0,0.0,0.15552039245700658,47.82339572906494,0
11484,python.exe,1715697844026745.0,0.0,0.29829678640452795,2.354337692260742,0
11492,conhost.exe,1715697844026745.0,0.0,0.008407162514812475,0,0
11576,conhost.exe,1715697844026745.0,0.0,0.016693184359382697,18.8251953125,0
11776,msedge.exe,1715697844026745.0,0.0,0.18822837342241533,47.82339572906494,0
11788,conhost.exe,1715697844026745.0,0.0,0.06919555084237587,0.00390625,0
11828,conhost.exe,1715697844026745.0,0.0,0.004748714273496384,0,0
11884,Code.exe,1715697844026745.0,0.0,0.5968358541495404,10.908100128173828,0
11924,conhost.exe,1715697844026745.0,0.0,0.011920241951837862,18.8251953125,0
12072,msedge.exe,1715697844026745.0,0.0,0.051072906574134574,73.76444625854492,0
12296,Code.exe,1715697844026745.0,0.0,0.20184458475764477,10.85526180267334,0
12480,svchost.exe,1715697844026745.0,0.0,0.022120286386235706,0,0
12512,WavesSysSvc64.exe,1715697844026745.0,0.0,0.053738001319464185,0,0
12524,StartMenuExperienceHost.exe,1715697844026745.0,0.0,0.4883664980146255,0,0
12540,dllhost.exe,1715697844026745.0,0.0,0.007874143565746554,0.02271270751953125,0
12548,msedge.exe,1715697844026745.0,0.0,0.29735188917663835,58.55729007720947,0
